loan_amount,annual_income,credit_score,employment_years,debt_to_income,num_credit_lines,num_delinquencies,loan_purpose,default
7873,140902,574,19,0.22,1,3,business,1
6675,41390,559,25,0.47,3,4,business,0
1161,40369,632,4,0.24,18,3,auto,0
38065,32881,765,14,0.72,16,5,education,1
27557,29587,415,8,0.33,13,8,personal,1
34763,113800,712,3,0.37,4,4,auto,0
33606,94327,836,20,0.54,4,4,business,1
12534,127009,556,20,0.42,2,2,business,1
30127,107911,467,3,0.32,13,6,home,1
41397,108147,832,19,0.1,13,4,home,0
26851,127562,314,26,0.47,7,1,personal,0
2016,27833,349,20,0.66,7,8,education,1
25253,137574,603,27,0.53,17,4,home,1
25276,67013,786,21,0.32,10,6,business,0
24247,137341,715,6,0.14,12,6,auto,0
25300,147785,604,14,0.62,16,9,education,0
9529,83620,495,21,0.71,2,7,personal,0
18262,35754,687,16,0.32,9,3,auto,0
10268,127584,754,17,0.56,12,6,personal,0
22271,98113,609,6,0.34,17,2,auto,0
13185,116631,426,29,0.4,16,8,auto,0
22243,106784,474,18,0.64,5,7,education,1
40099,55282,433,27,0.11,19,9,personal,0
9571,56737,365,9,0.42,17,8,home,1
40976,137972,692,26,0.2,3,1,auto,0
39044,117427,664,12,0.29,17,3,auto,0
49984,44124,578,1,0.5,15,0,home,1
41774,90102,662,21,0.07,19,7,education,0
3568,22196,470,26,0.47,15,3,education,0
3027,81527,350,19,0.25,18,3,education,0
3695,116651,627,27,0.52,12,6,business,1
49190,135477,444,10,0.15,12,5,business,0
6258,105395,573,4,0.57,3,2,education,0
23002,31345,454,5,0.5,11,7,education,0
40504,144544,807,2,0.73,10,1,home,1
34159,54077,662,0,0.69,15,0,business,0
14986,86400,624,2,0.25,11,1,personal,0
13666,32055,597,2,0.07,1,8,education,1
39660,123693,793,21,0.51,4,4,education,0
4561,105283,845,3,0.47,8,4,education,0
27854,64484,603,6,0.07,13,5,auto,0
39952,97514,766,28,0.14,17,2,business,0
23662,110135,538,14,0.46,15,0,personal,0
9392,55771,816,10,0.69,1,7,auto,1
31535,132478,475,17,0.68,3,6,auto,1
14067,77654,709,11,0.16,17,7,personal,0
49033,66540,663,3,0.32,4,8,personal,0
24599,103151,322,23,0.08,8,1,personal,0
36222,126263,617,10,0.38,15,4,personal,1
12837,130284,824,5,0.58,8,1,personal,0
15039,137399,575,25,0.6,14,7,education,1
31818,124885,528,18,0.4,6,3,personal,0
20115,142393,407,25,0.12,15,3,personal,0
11965,49377,475,27,0.32,9,9,business,1
25538,115567,619,17,0.7,5,7,education,0
43530,69573,585,14,0.21,13,6,auto,0
6056,62733,628,2,0.27,7,0,education,0
33482,149344,655,16,0.57,17,6,home,1
48716,31760,313,0,0.56,8,9,personal,1
9110,133226,574,1,0.69,5,2,auto,1
14773,119250,370,29,0.32,7,4,home,0
28266,45762,494,18,0.41,8,7,auto,0
18412,70986,822,28,0.38,7,5,education,0
34270,54332,405,8,0.7,12,7,home,1
7910,60100,495,7,0.59,6,4,personal,0
46453,24944,444,11,0.63,4,9,personal,1
26446,68825,649,26,0.14,3,8,home,0
1206,33877,723,26,0.6,5,5,education,0
22518,49990,770,14,0.35,19,8,home,0
23361,149065,515,24,0.07,8,3,education,0
24419,128443,392,22,0.09,5,1,auto,0
49702,119612,559,6,0.52,13,7,education,1
42523,137674,840,20,0.31,10,4,home,0
46151,135074,584,15,0.66,6,1,home,1
23403,75283,783,6,0.56,1,5,auto,1
19141,144041,671,19,0.07,11,2,home,0
15820,23258,369,20,0.53,9,0,business,1
41342,140809,678,11,0.18,16,5,home,0
7374,51629,578,16,0.35,15,7,business,0
2678,57579,601,10,0.49,5,0,home,0
34827,42958,554,3,0.66,15,2,home,1
17198,59465,563,18,0.37,1,5,auto,1
10914,105853,723,1,0.62,15,9,business,0
28890,35775,512,1,0.6,4,2,auto,1
23299,96575,399,23,0.34,16,6,business,0
44585,114633,411,16,0.4,7,5,business,1
44689,54207,607,23,0.54,8,8,personal,1
43557,42553,774,8,0.07,2,5,business,0
45020,129938,847,21,0.67,12,6,auto,1
3693,73632,411,0,0.59,2,1,auto,1
30467,20055,386,9,0.22,14,9,education,1
30723,138012,482,27,0.74,19,3,home,1
47699,108697,464,22,0.18,6,4,personal,1
4627,52873,389,14,0.69,19,1,home,1
26939,121505,754,20,0.28,17,9,auto,0
49925,100720,537,14,0.58,3,9,personal,1
43941,86205,833,24,0.37,10,9,business,0
22834,98199,357,22,0.57,13,6,auto,1
19047,45318,841,20,0.16,18,3,auto,0
27105,53734,701,28,0.24,19,8,auto,0
11230,102227,818,1,0.12,17,7,auto,0
16707,38522,496,13,0.66,8,9,personal,1
22976,31656,345,3,0.26,18,8,home,1
45262,35893,829,17,0.54,7,7,home,1
24776,131393,696,8,0.62,11,4,business,0
31080,36493,373,1,0.68,3,8,auto,0
2306,23632,715,1,0.12,2,4,auto,0
7776,115872,634,17,0.68,19,7,home,1
28251,108648,595,16,0.19,11,3,business,0
10474,81779,383,8,0.57,8,4,education,1
41294,58452,314,7,0.56,11,3,personal,0
22959,33266,433,1,0.06,2,1,home,1
6530,141187,777,1,0.2,12,3,personal,0
30320,136603,618,4,0.39,9,4,home,0
4748,81607,691,11,0.34,6,5,business,0
32968,36940,778,28,0.69,12,3,auto,0
33562,44003,667,29,0.3,18,9,education,1
14545,147880,666,27,0.71,5,3,personal,0
1663,118408,587,15,0.37,17,5,education,1
35766,54815,677,13,0.73,16,6,auto,0
8994,50869,762,19,0.57,12,6,home,1
29021,69297,312,1,0.63,2,3,business,0
31303,80107,835,23,0.12,16,4,auto,0
4304,102793,467,7,0.46,1,2,education,0
47576,36682,569,28,0.15,2,4,education,0
40353,39622,369,3,0.26,13,9,education,1
18675,50408,617,29,0.49,16,4,home,0
45417,28837,675,19,0.56,1,3,education,0
24938,84210,388,8,0.08,19,5,home,0
24664,35407,556,19,0.42,4,4,education,0
2636,49309,516,25,0.45,3,7,personal,0
21080,91918,749,26,0.11,2,1,personal,0
28728,113190,843,24,0.4,12,5,auto,0
27736,38895,440,18,0.55,13,1,auto,0
29673,141284,460,1,0.09,18,5,business,0
38505,119087,331,15,0.58,5,3,education,0
48323,106912,451,10,0.45,12,0,education,1
47645,20370,559,7,0.63,19,5,home,1
1854,134212,578,11,0.2,1,2,auto,0
25548,20486,584,2,0.63,9,6,personal,0
39623,43762,841,12,0.12,1,2,home,0
8392,46613,447,1,0.33,18,9,personal,0
47717,132804,366,12,0.19,3,3,home,1
22556,23196,578,26,0.66,6,8,auto,1
39559,127856,742,7,0.54,4,6,education,0
27309,138975,698,14,0.07,12,3,education,0
22919,114937,427,23,0.06,12,1,auto,0
5931,120565,636,20,0.25,5,4,personal,1
33970,96349,781,8,0.15,13,7,business,1
45215,84839,485,10,0.49,12,1,business,0
13688,61916,468,21,0.51,4,8,auto,0
26342,28572,559,20,0.71,6,4,home,1
38157,133312,806,27,0.72,19,5,education,0
3327,48225,820,2,0.51,6,6,personal,1
41772,65853,770,6,0.05,6,8,business,1
41545,69390,460,13,0.3,11,6,education,1
1197,52275,588,14,0.41,14,3,auto,0
24509,92379,639,8,0.4,3,4,education,0
35698,21105,801,19,0.47,8,2,business,0
45542,136074,405,10,0.72,4,0,personal,0
16087,79896,774,6,0.67,16,2,home,0
23671,63209,762,11,0.13,18,0,home,0
26184,117175,782,18,0.24,7,4,education,1
28848,62487,452,26,0.63,11,6,home,0
43107,38051,448,17,0.63,8,8,business,1
21666,114244,487,12,0.24,6,3,personal,1
45357,120995,430,10,0.56,16,9,home,1
16708,142444,751,0,0.52,5,9,home,0
27370,97400,815,5,0.38,6,0,auto,0
3811,120300,790,20,0.19,6,6,home,0
48011,86961,775,1,0.67,2,2,home,0
7546,80156,562,12,0.52,7,0,business,0
35754,134682,837,12,0.17,9,3,home,0
31206,77175,758,18,0.54,15,8,auto,1
42106,26849,835,8,0.57,14,5,auto,1
12411,121551,594,18,0.67,13,5,auto,1
3911,38976,734,22,0.21,5,6,home,0
2734,119794,574,0,0.74,17,0,education,0
19227,135912,607,22,0.16,5,4,education,0
9680,137275,675,24,0.47,3,3,business,0
20360,76866,457,27,0.51,9,3,education,0
19343,137752,503,26,0.34,9,6,business,0
6759,67078,374,7,0.38,4,1,business,0
24078,142492,679,22,0.67,11,4,auto,0
36153,51113,603,25,0.5,17,6,personal,0
12111,135520,361,13,0.4,14,2,business,1
38504,35401,407,23,0.14,10,1,home,0
2802,32884,486,15,0.06,5,0,auto,0
9155,104360,528,28,0.14,17,4,home,0
9120,57563,347,3,0.72,16,4,home,1
40384,54414,567,17,0.58,1,3,education,0
48025,36142,553,13,0.73,10,7,home,1
48254,132610,386,29,0.07,12,1,business,0
22918,135128,480,26,0.53,18,3,home,0
21445,91492,324,8,0.08,1,4,home,0
31306,99464,687,14,0.6,12,8,education,0
17646,95257,521,2,0.32,6,2,home,0
47843,96693,696,29,0.12,8,0,business,0
32065,55135,810,26,0.45,14,3,business,0
26199,92232,739,3,0.25,5,9,home,0
42976,47862,474,22,0.51,4,5,business,1
17371,25190,610,17,0.51,16,6,business,0
12835,90199,573,13,0.54,6,3,education,0
46936,125366,334,14,0.74,3,3,auto,1
3049,24331,516,7,0.32,4,5,auto,0
32616,144184,707,27,0.38,8,0,personal,0
39191,72186,818,9,0.61,14,4,auto,1
48357,64648,568,23,0.45,7,2,home,0
21932,48549,774,11,0.08,4,7,business,1
30855,101782,624,20,0.64,19,4,auto,1
8158,45761,655,8,0.09,11,6,education,0
44016,23262,389,7,0.17,15,7,personal,1
8400,131624,341,16,0.12,16,7,home,1
43642,71259,664,8,0.1,6,1,auto,0
16151,92572,501,12,0.07,12,1,business,0
2154,144720,665,29,0.09,8,9,education,0
5499,73472,587,13,0.36,10,4,auto,1
7295,107858,780,4,0.23,11,2,business,0
13183,104667,800,8,0.14,9,9,auto,0
30299,24677,351,24,0.51,17,0,home,0
13874,93508,402,25,0.21,14,7,personal,0
33711,100865,660,25,0.06,3,5,business,0
6539,122568,723,15,0.34,9,2,personal,0
43405,121437,504,18,0.27,18,7,personal,0
49354,129916,313,23,0.27,17,0,education,1
3557,70617,769,22,0.36,5,2,business,0
39360,106029,765,6,0.52,6,8,education,0
17482,38595,603,11,0.48,3,5,personal,0
3200,107459,726,25,0.71,16,0,home,0
47940,80148,409,1,0.41,15,8,home,1
3961,66926,814,17,0.38,8,6,auto,0
47975,95271,367,17,0.2,9,0,auto,0
22357,54457,545,15,0.58,4,0,business,0
12969,62531,688,28,0.15,13,4,home,0
3869,93263,607,10,0.39,3,3,personal,0
47760,93300,651,1,0.34,7,7,home,0
29643,148027,365,13,0.51,16,1,business,1
25736,83171,759,3,0.69,17,5,auto,1
39467,139229,646,6,0.71,17,7,auto,1
24328,146159,624,1,0.17,19,0,education,0
26876,138229,332,20,0.23,17,2,auto,0
22295,65771,367,13,0.62,2,0,personal,0
4987,113135,486,6,0.41,5,6,business,1
23399,86354,491,8,0.37,16,0,auto,0
47214,132743,512,7,0.55,11,8,auto,1
34986,133381,727,8,0.47,6,7,personal,1
21880,57289,650,6,0.73,11,2,auto,0
5735,53892,407,18,0.46,1,3,personal,0
45064,91196,539,16,0.38,19,8,auto,0
5555,149662,515,25,0.43,3,9,personal,0
42914,115057,476,22,0.62,8,5,auto,1
41818,58409,629,12,0.48,18,4,business,0
46525,135817,749,10,0.5,13,4,education,0
20830,54470,746,21,0.73,1,0,education,1
18429,38385,836,17,0.48,17,0,home,0
7893,43296,478,16,0.32,5,2,education,0
15373,138566,694,27,0.53,12,1,personal,1
48333,81716,444,15,0.51,11,9,personal,1
4436,109152,497,9,0.06,18,0,education,0
9754,46382,383,3,0.38,8,4,personal,1
11677,96675,384,29,0.57,13,2,business,0
6895,141019,756,3,0.4,2,6,personal,0
20738,117596,775,21,0.6,16,7,business,1
31746,42419,552,10,0.37,12,9,business,0
49404,113321,371,20,0.74,8,5,business,1
33352,101238,522,24,0.26,4,4,auto,1
40790,145032,575,7,0.11,14,9,home,1
42919,114753,545,8,0.35,9,4,personal,1
6600,59291,640,15,0.43,11,0,auto,0
30124,32397,770,9,0.29,16,5,home,1
28643,126415,753,22,0.22,6,5,auto,1
41764,77888,306,8,0.52,12,2,personal,1
10007,55169,487,2,0.31,19,3,business,0
46714,82182,303,24,0.49,16,3,auto,0
38410,112476,424,1,0.6,13,5,home,1
45080,62249,314,8,0.58,4,7,home,1
41447,48341,824,12,0.31,12,8,home,0
9208,95603,539,5,0.45,4,8,auto,0
19589,66144,659,3,0.36,17,4,home,0
44484,81772,817,27,0.66,14,7,education,0
18453,99360,619,13,0.67,17,7,home,1
37212,33444,530,27,0.29,1,9,home,0
44525,65647,329,28,0.11,1,3,auto,1
48202,143662,833,10,0.17,2,3,personal,0
33635,134416,455,1,0.31,17,2,auto,0
34828,118843,698,28,0.44,1,4,auto,0
19711,30974,645,25,0.51,12,7,education,0
4420,132150,494,2,0.28,13,7,personal,1
32216,58383,467,4,0.52,14,8,auto,1
1301,145548,676,24,0.71,10,0,education,0
46236,114826,788,6,0.51,12,3,auto,1
1699,101552,661,10,0.16,18,5,education,1
1190,117648,781,11,0.46,7,4,business,0
11492,114049,543,28,0.43,19,3,home,0
36743,22956,470,10,0.66,15,2,home,1
7102,28077,812,18,0.3,7,1,auto,0
20778,56490,705,12,0.35,14,8,education,0
27641,130363,506,3,0.47,9,9,business,1
35584,144713,453,13,0.42,5,2,home,0
33745,123391,347,11,0.55,1,3,auto,1
24093,128642,300,26,0.08,16,0,auto,0
1569,75612,706,1,0.44,5,0,education,0
39210,120474,406,29,0.14,8,9,personal,0
35663,56159,472,7,0.27,19,8,auto,0
37631,59710,805,21,0.51,12,3,business,0
46681,103536,429,18,0.16,8,9,business,0
8455,33806,697,12,0.27,8,3,personal,0
5014,133096,593,20,0.54,6,5,business,1
12093,98345,746,20,0.51,9,1,education,0
19070,100391,315,27,0.11,2,5,auto,0
36777,127412,648,0,0.45,18,6,education,0
17538,114924,502,28,0.15,1,0,personal,0
11729,26458,433,4,0.23,11,7,personal,0
35177,55524,825,21,0.37,15,5,education,0
46017,26853,807,25,0.13,12,8,home,0
1784,60477,365,25,0.75,3,3,personal,0
28751,52222,779,26,0.17,19,1,auto,0
41864,38320,758,10,0.6,19,8,personal,1
41328,114154,641,10,0.63,10,7,education,1
13533,72243,458,12,0.75,16,1,education,0
41111,65615,460,1,0.35,6,7,business,0
40974,37352,553,18,0.66,9,7,home,1
6801,92833,826,15,0.72,8,4,education,0
20190,113476,848,25,0.17,16,6,business,0
39754,134560,454,4,0.39,8,6,business,0
30592,23203,785,13,0.09,18,3,auto,0
11647,59267,731,28,0.48,5,5,business,1
9716,57941,326,18,0.46,12,9,home,0
24355,102809,311,4,0.19,6,5,auto,1
23009,45368,366,20,0.61,2,5,education,1
25376,97186,841,23,0.08,4,8,education,0
46091,50984,395,25,0.61,16,1,business,1
5780,61941,514,8,0.07,14,9,personal,1
3368,92918,493,23,0.51,17,7,home,1
13039,72683,589,11,0.11,19,7,home,0
7655,146409,843,15,0.23,4,0,business,0
41941,20801,338,18,0.56,18,1,home,1
5495,126538,505,14,0.25,12,3,auto,0
11893,132201,783,16,0.41,2,4,business,0
26547,67965,636,29,0.69,6,4,personal,1
23386,105269,795,14,0.08,6,5,education,0
14403,142693,548,2,0.62,3,6,home,1
33097,29969,373,16,0.1,8,0,education,0
14121,55969,672,12,0.14,12,6,personal,1
11966,102269,437,26,0.13,3,5,personal,1
34621,52449,756,8,0.75,2,4,auto,0
29312,111679,743,27,0.18,1,5,personal,0
23677,45705,652,12,0.68,18,7,personal,1
32289,80303,710,15,0.74,18,5,home,0
32024,48363,837,18,0.32,8,4,education,0
43675,50720,752,13,0.49,14,5,home,1
5777,29972,718,7,0.6,13,8,home,1
30749,53351,749,21,0.32,15,0,business,0
16338,131023,414,18,0.16,15,2,business,1
3491,56145,350,24,0.35,13,2,auto,0
28236,107948,668,23,0.59,4,8,auto,1
49096,109614,814,2,0.6,4,2,personal,0
15599,108116,509,22,0.21,5,5,auto,0
20508,76235,734,20,0.17,3,8,auto,0
4051,34855,526,17,0.69,12,9,personal,0
49747,56169,567,15,0.08,12,4,education,1
22606,66404,415,13,0.56,7,9,personal,1
22699,39569,659,15,0.08,7,8,personal,0
1876,145074,628,23,0.64,1,8,education,0
33093,149006,339,16,0.68,12,5,personal,1
5142,74437,481,19,0.26,3,7,business,1
16202,68506,789,10,0.1,15,8,auto,0
40734,45738,508,12,0.39,9,8,personal,0
8079,26772,572,10,0.26,9,7,home,1
8987,110410,418,27,0.34,14,3,auto,0
40567,39731,681,28,0.52,3,7,business,0
29940,30131,835,3,0.2,8,1,business,0
38233,86324,557,28,0.3,6,2,personal,0
18019,74097,782,25,0.6,12,8,education,0
47185,101720,808,13,0.5,2,9,home,1
19077,116433,391,4,0.28,3,3,personal,0
27258,22889,460,3,0.52,14,1,education,1
22136,29569,448,0,0.59,17,2,business,1
9311,107193,416,13,0.46,3,6,auto,1
18214,95677,757,6,0.22,4,8,business,0
15098,105192,344,9,0.05,15,6,personal,0
29251,143757,533,26,0.61,7,7,education,0
38945,107154,674,1,0.63,19,2,personal,0
48030,97470,846,9,0.54,14,6,business,0
26945,128073,496,2,0.1,16,0,home,1
26316,108822,324,20,0.46,13,5,business,1
33217,146019,694,7,0.62,17,2,personal,0
9308,27612,335,9,0.32,17,1,education,0
6949,71644,773,7,0.19,10,3,personal,0
2150,52069,522,13,0.46,7,8,auto,1
24944,101741,829,17,0.63,17,5,auto,1
35699,47331,487,8,0.08,12,8,education,0
10204,75897,701,21,0.47,11,7,business,0
2081,33934,556,8,0.5,10,4,personal,1
30305,30095,435,29,0.47,8,7,auto,0
17896,111494,743,3,0.51,15,1,home,0
47175,122544,717,2,0.49,18,7,auto,1
8805,38706,591,13,0.14,13,0,business,0
6237,63516,428,13,0.21,16,2,education,0
21056,123602,640,20,0.48,13,6,home,0
46543,117008,556,15,0.06,4,3,personal,1
46952,54629,399,4,0.49,11,6,personal,0
4343,66910,338,19,0.52,19,0,education,1
14500,108540,562,28,0.22,8,6,home,0
30375,144746,449,22,0.47,10,2,home,1
10662,40431,629,23,0.42,12,1,home,0
17964,76733,419,14,0.23,11,8,education,1
48893,60088,518,20,0.37,4,1,education,1
9130,64135,422,8,0.69,19,2,personal,1
20531,135786,543,6,0.35,10,2,auto,0
2679,58015,817,12,0.49,15,3,business,0
4506,120038,320,28,0.07,13,6,personal,0
14284,51385,489,22,0.1,13,6,home,0
8253,90199,524,7,0.11,18,8,auto,0
20128,58677,765,11,0.59,7,9,business,0
28932,138104,398,3,0.3,14,7,home,1
10435,32818,662,15,0.21,5,5,education,0
45078,108222,382,25,0.57,9,5,auto,0
14296,83001,355,28,0.17,17,4,education,1
31445,43977,321,28,0.22,5,1,business,0
14245,69832,484,5,0.35,16,5,business,1
30124,60931,821,4,0.28,9,5,home,0
30899,103990,563,0,0.46,17,4,education,1
44919,98894,524,13,0.29,18,5,personal,0
44225,92204,337,28,0.33,3,4,personal,1
36247,65784,422,8,0.65,5,3,education,0
30222,126305,455,17,0.67,17,2,business,0
27211,29921,600,5,0.63,4,0,auto,0
38220,54959,366,14,0.66,4,3,education,1
27646,52328,693,15,0.45,7,8,home,0
39649,28859,704,7,0.5,8,6,personal,1
24049,144492,748,18,0.44,2,6,home,0
15069,109506,430,4,0.6,10,6,auto,1
33580,94408,368,13,0.44,5,3,personal,1
32843,143852,644,6,0.13,17,6,personal,0
3849,104766,619,3,0.62,7,1,personal,1
41158,46708,476,29,0.58,2,7,home,1
24289,38847,828,27,0.62,6,9,business,0
45690,75989,459,20,0.18,10,7,home,1
36257,112641,832,0,0.24,9,8,business,0
10823,145383,434,3,0.26,5,4,education,0
42975,24922,410,29,0.41,3,9,personal,1
10540,89928,582,13,0.14,11,7,home,1
17364,72335,819,22,0.32,10,1,auto,0
5611,146913,493,15,0.18,16,9,auto,1
28663,33541,346,27,0.24,19,9,business,0
39646,39551,641,25,0.54,1,7,business,0
31977,39381,541,6,0.65,11,9,personal,1
30168,133319,821,9,0.07,15,8,business,0
26471,75673,669,9,0.45,7,5,auto,1
23687,121531,430,3,0.08,8,5,home,1
1851,42948,569,11,0.11,16,3,home,0
19071,112264,360,5,0.54,18,7,business,0
7833,79072,463,12,0.56,11,6,business,1
12938,87560,824,20,0.62,1,8,auto,0
36195,102249,571,0,0.38,16,0,education,1
27144,22486,432,7,0.65,4,9,home,1
5000,86691,543,27,0.17,6,7,business,0
6052,30082,733,22,0.22,11,7,personal,1
36506,122781,337,15,0.14,6,8,business,1
29074,104105,618,4,0.61,10,6,business,0
39155,27086,809,28,0.21,6,8,home,1
41770,147818,675,25,0.16,10,9,business,0
33320,87853,773,25,0.49,5,7,personal,0
39304,121925,358,6,0.1,9,8,personal,0
47247,90027,798,25,0.08,7,8,personal,1
4913,35916,517,2,0.12,17,0,auto,0
18450,35248,428,23,0.05,12,2,personal,0
25107,88047,682,20,0.54,11,5,home,0
21764,44226,687,1,0.44,6,6,education,1
44404,45025,384,1,0.2,11,3,business,1
21491,127850,809,19,0.21,11,9,business,0
39494,68380,736,22,0.62,14,1,business,1
4373,27848,592,29,0.4,16,3,personal,0
13161,34274,348,9,0.54,2,5,personal,1
32996,140092,366,19,0.37,2,3,personal,0
28122,74545,428,8,0.22,5,9,education,0
35850,149043,328,17,0.73,14,1,education,1
28350,116494,642,5,0.45,10,8,education,1
28472,135981,844,19,0.14,10,0,education,0
29761,55233,418,5,0.33,18,9,education,1
26351,36304,432,25,0.28,9,6,business,1
24132,133973,626,24,0.2,4,8,business,1
16305,31294,484,9,0.7,17,2,education,0
10817,46425,805,27,0.67,2,5,business,0
12261,88711,833,24,0.19,14,8,education,1
1417,126153,540,8,0.3,1,8,education,1
42576,130777,815,8,0.58,7,3,education,1
21358,113311,464,2,0.2,4,7,business,0
4267,29425,517,11,0.46,9,7,auto,1
18209,111549,304,10,0.54,3,6,auto,0
25052,113464,380,13,0.51,5,5,auto,1
39513,64990,546,24,0.54,10,2,home,1
27092,126748,792,18,0.54,10,3,auto,1
12338,93746,685,9,0.73,4,8,auto,1
1412,88295,606,18,0.29,17,9,auto,1
8543,36091,842,4,0.67,17,6,personal,1
41355,139943,306,21,0.07,19,7,education,1
34496,143102,814,8,0.25,6,5,business,1
24548,20002,372,0,0.08,1,0,personal,0
28384,142818,309,14,0.51,14,8,education,1
45425,70411,421,23,0.12,13,2,auto,0
39756,60958,812,29,0.64,3,2,auto,1
19888,147829,740,29,0.5,2,8,personal,1
36735,115696,337,3,0.07,7,3,business,0
48295,40707,644,25,0.55,12,7,personal,0
49816,35248,637,6,0.65,2,3,personal,1
18506,91309,483,5,0.51,11,1,education,0
21463,98322,366,14,0.07,16,4,home,0
18955,71720,316,5,0.65,5,2,business,0
38841,35037,682,6,0.56,17,3,business,0
6104,87421,667,19,0.31,3,2,personal,0
35911,125364,615,21,0.28,14,0,personal,0
24190,101867,796,2,0.39,16,3,auto,0
8357,60612,644,20,0.66,17,8,personal,1
33479,108031,772,28,0.23,19,6,education,0
45811,33450,414,28,0.12,4,5,auto,1
37208,29491,399,29,0.66,9,9,home,0
21150,137026,737,12,0.07,11,8,education,1
6644,94804,644,1,0.69,5,3,business,1
44286,138446,648,2,0.26,11,5,business,0
48320,113293,438,12,0.41,13,2,education,0
3914,139498,623,8,0.14,2,2,personal,0
22352,127443,601,21,0.68,2,9,personal,1
47352,26791,593,18,0.57,10,9,personal,1
45912,125475,828,17,0.7,13,7,business,0
15397,48314,591,4,0.53,5,4,education,1
42555,71883,373,9,0.18,11,7,personal,1
47959,114119,783,13,0.27,15,8,auto,1
1728,135557,315,20,0.39,5,1,business,1
1698,107086,825,16,0.48,5,6,education,0
40954,85629,635,2,0.7,7,1,education,1
48280,121291,815,6,0.32,10,6,education,0
14923,131151,426,8,0.54,2,2,education,0
17779,29967,817,4,0.72,1,7,home,1
8400,101754,428,3,0.16,1,3,auto,0
25466,63220,810,2,0.65,4,8,home,1
37939,94163,722,25,0.34,15,3,personal,0
5360,24947,684,12,0.56,15,1,home,0
36270,59419,531,8,0.26,6,3,home,1
18101,76131,494,29,0.28,6,4,business,1
33307,108714,364,22,0.07,1,7,education,1
6486,48876,576,27,0.73,7,2,home,1
9335,108444,523,6,0.62,5,8,education,1
22364,121448,577,29,0.12,17,8,auto,1
38259,39971,665,28,0.75,7,9,home,0
24576,82539,815,7,0.47,4,2,business,0
32667,118120,514,9,0.65,3,7,business,1
12130,69228,738,0,0.1,12,5,personal,1
